ID;Player Name;Team Name;Transfermarkt Link
0;Lis M.;Wisła Kraków;https://www.transfermarkt.com/mateusz-lis/profil/spieler/345437
1;Klemenz L.;Wisła Kraków;https://www.transfermarkt.com/lukas-klemenz/profil/spieler/237334
2;Niepsuj D.;Wisła Kraków;https://www.transfermarkt.com/david-niepsuj/profil/spieler/184849
3;Janicki R.;Wisła Kraków;https://www.transfermarkt.com/rafal-janicki/profil/spieler/153638
4;Sadlok M.;Wisła Kraków;https://www.transfermarkt.com/maciej-sadlok/profil/spieler/50751
5;Wojtkowski  K.;Wisła Kraków;https://www.transfermarkt.com/kamil-wojtkowski/profil/spieler/293063
6;Chuca;Wisła Kraków;https://www.transfermarkt.com/chuca/profil/spieler/399779
7;Boguski R.;Wisła Kraków;https://www.transfermarkt.com/rafal-boguski/profil/spieler/36858
8;Hołownia  M.;Wisła Kraków;https://www.transfermarkt.com/mateusz-holownia/profil/spieler/266379
9;Basha V.;Wisła Kraków;https://www.transfermarkt.com/vullnet-basha/profil/spieler/56324
10;Turgeman A.;Wisła Kraków;https://www.transfermarkt.com/alon-turgeman/profil/spieler/177249
11;Buksa  A.;Wisła Kraków;https://www.transfermarkt.com/aleksander-buksa/profil/spieler/553757
12;Pawłowski  D.;Wisła Kraków;https://www.transfermarkt.com/damian-pawlowski/profil/spieler/320741
13;Tupta L.;Wisła Kraków;https://www.transfermarkt.com/lubomir-tupta/profil/spieler/344806
14;Kozioł M.;Korona Kielce;https://www.transfermarkt.com/marek-koziol/profil/spieler/123220
15;Gardawski M.;Korona Kielce;https://www.transfermarkt.com/michael-gardawski/profil/spieler/52791
16;Kovacević A.;Korona Kielce;https://www.transfermarkt.com/adnan-kovacevic/profil/spieler/187669
17;Tzimopoulos T.;Korona Kielce;https://www.transfermarkt.com/themistoklis-tzimopoulos/profil/spieler/34204
18;Szymusik  G.;Korona Kielce;https://www.transfermarkt.com/grzegorz-szymusik/profil/spieler/381563
19;Forsell P.;Korona Kielce;https://www.transfermarkt.com/petteri-forsell/profil/spieler/73908
20;Żubrowski J.;Korona Kielce;https://www.transfermarkt.com/jakub-zubrowski/profil/spieler/283012
21;Szelągowski  D.;Korona Kielce;https://www.transfermarkt.com/daniel-szelagowski/profil/spieler/566350
22;Cebula M.;Korona Kielce;https://www.transfermarkt.com/marcin-cebula/profil/spieler/239215
23;Radin M.;Korona Kielce;https://www.transfermarkt.com/milan-radin/profil/spieler/169268
24;Kiełb J.;Korona Kielce;https://www.transfermarkt.com/jacek-kielb/profil/spieler/37110
25;Kaczmarski  I.;Korona Kielce;https://www.transfermarkt.com/iwo-kaczmarski/profil/spieler/555056
26;Długosz  W.;Korona Kielce;https://www.transfermarkt.com/wiktor-dlugosz/profil/spieler/453156
27;Spychała  M.;Korona Kielce;https://www.transfermarkt.com/mateusz-spychala/profil/spieler/293057
28;Dżanajew S.;Miedź Legnica;No link found
29;Bartczak G.;Miedź Legnica;https://www.transfermarkt.com/grzegorz-bartczak/profil/spieler/29507
30;Musa B.;Miedź Legnica;https://www.transfermarkt.com/bozo-musa/profil/spieler/143008
31;Pikk A.;Miedź Legnica;https://www.transfermarkt.com/artur-pikk/profil/spieler/133593
32;Zieliński P.;Miedź Legnica;https://www.transfermarkt.com/piotr-zielinski/profil/spieler/181136
33;Santana O.;Miedź Legnica;https://www.transfermarkt.com/omar-santana/profil/spieler/176249
34;Roman J.;Miedź Legnica;https://www.transfermarkt.com/joan-roman/profil/spieler/121411
35;Augustyniak R.;Miedź Legnica;https://www.transfermarkt.com/rafal-augustyniak/profil/spieler/264796
36;Camara J.;Miedź Legnica;https://www.transfermarkt.com/juan-camara/profil/spieler/162039
37;Fernandez B.;Miedź Legnica;https://www.transfermarkt.com/borja-fernandez/profil/spieler/271988
38;Forsell P.;Korona Kielce;https://www.transfermarkt.com/petteri-forsell/profil/spieler/73908
39;Szczepaniak M.;Miedź Legnica;https://www.transfermarkt.com/mateusz-szczepaniak/profil/spieler/77315
40;Ojamaa H.;Miedź Legnica;https://www.transfermarkt.com/henrik-ojamaa/profil/spieler/61666
41;Garguła Ł.;Miedź Legnica;https://www.transfermarkt.com/lukasz-gargula/profil/spieler/32249
42;Słowik J.;Śląsk Wrocław;https://www.transfermarkt.com/jakub-slowik/profil/spieler/154530
43;Broź Ł.;Śląsk Wrocław;https://www.transfermarkt.com/lukasz-broz/profil/spieler/42510
44;Golla W.;Śląsk Wrocław;https://www.transfermarkt.com/wojciech-golla/profil/spieler/161314
45;Pawelec M.;Śląsk Wrocław;https://www.transfermarkt.com/mariusz-pawelec/profil/spieler/29818
46;Celeban P.;Śląsk Wrocław;https://www.transfermarkt.com/piotr-celeban/profil/spieler/29509
47;Cholewiak M.;Śląsk Wrocław;https://www.transfermarkt.com/mateusz-cholewiak/profil/spieler/255519
48;Augusto;Śląsk Wrocław;https://www.transfermarkt.com/augusto/profil/spieler/168674
49;Mączyński K.;Śląsk Wrocław;https://www.transfermarkt.com/krzysztof-maczynski/profil/spieler/51337
50;Chrapek M.;Śląsk Wrocław;https://www.transfermarkt.com/michal-chrapek/profil/spieler/117683
51;Pich R.;Śląsk Wrocław;https://www.transfermarkt.com/robert-pich/profil/spieler/109742
52;Robak M.;Śląsk Wrocław;https://www.transfermarkt.com/marcin-robak/profil/spieler/36727
53;Cotra D.;Śląsk Wrocław;https://www.transfermarkt.com/djordje-cotra/profil/spieler/42433
54;Łabojko J.;Śląsk Wrocław;https://www.transfermarkt.com/jakub-labojko/profil/spieler/387529
55;Radecki M.;Śląsk Wrocław;https://www.transfermarkt.us/mateusz-radecki/profil/spieler/264872
56;Kamiński K.;Wisła Płock;https://www.transfermarkt.com/krzysztof-kaminski/profil/spieler/172874
57;Uryga A.;Wisła Płock;https://www.transfermarkt.com/alan-uryga/profil/spieler/187945
58;Rzeźniczak J.;Wisła Płock;https://www.transfermarkt.com/jakub-rzezniczak/profil/spieler/24576
59;Vallo K.;Wisła Płock;https://www.transfermarkt.com/kristian-vallo/profil/spieler/389621
60;Garcia A.;Wisła Płock;https://www.transfermarkt.com/angel-garcia/profil/spieler/246278
61;Szwoch M.;Wisła Płock;https://www.transfermarkt.com/mateusz-szwoch/profil/spieler/199302
62;Lesniak F.;Wisła Płock;https://www.transfermarkt.com/filip-lesniak/profil/spieler/186383
63;Kocyła  D.;Wisła Płock;https://www.transfermarkt.com/dawid-kocyla/profil/spieler/605780
64;Adamczyk H.;Wisła Płock;https://www.transfermarkt.com/hubert-adamczyk/profil/spieler/287235
65;Rasak D.;Wisła Płock;https://www.transfermarkt.com/damian-rasak/profil/spieler/255910
66;Tuszyński P.;Wisła Płock;https://www.transfermarkt.com/patryk-tuszynski/profil/spieler/110856
67;Lewandowski  M.;Wisła Płock;https://www.transfermarkt.com/mateusz-lewandowski/profil/spieler/173339
68;Lagator D.;Wisła Płock;https://www.transfermarkt.com/dusan-lagator/profil/spieler/246831
69;Tomasik P.;Wisła Płock;https://www.transfermarkt.com/piotr-tomasik/profil/spieler/84918
70;Susnjara L.;Wisła Płock;https://www.transfermarkt.com/luka-susnjara/profil/spieler/334724
71;Plach F.;Piast Gliwice;https://www.transfermarkt.com/frantisek-plach/profil/spieler/404345
72;Rymaniak B.;Piast Gliwice;https://www.transfermarkt.com/bartosz-rymaniak/profil/spieler/81257
73;Huk T.;Piast Gliwice;https://www.transfermarkt.com/tomas-huk/profil/spieler/181612
74;Czerwiński J.;Piast Gliwice;https://www.transfermarkt.com/jakub-czerwinski/profil/spieler/143282
75;Konczkowski M.;Piast Gliwice;https://www.transfermarkt.com/martin-konczkowski/profil/spieler/258799
76;Badia G.;Piast Gliwice;https://www.transfermarkt.com/gerard-badia/profil/spieler/95430
77;Chrapek M.;Śląsk Wrocław;https://www.transfermarkt.com/michal-chrapek/profil/spieler/117683
78;Jodłowiec T.;Piast Gliwice;https://www.transfermarkt.com/tomasz-jodlowiec/profil/spieler/27261
79;Pyrka  A.;Piast Gliwice;https://www.transfermarkt.com/arkadiusz-pyrka/profil/spieler/599733
80;Sokołowski P.;Piast Gliwice;https://www.transfermarkt.com/patryk-sokolowski/profil/spieler/284871
81;Świerczok J.;Piast Gliwice;https://www.transfermarkt.com/jakub-swierczok/profil/spieler/193554
82;Lipski P.;Piast Gliwice;https://www.transfermarkt.com/patryk-lipski/profil/spieler/255392
83;Vida K.;Piast Gliwice;https://www.transfermarkt.com/kristopher-vida/profil/spieler/164837
84;Żyro M.;Piast Gliwice;https://www.transfermarkt.com/michal-zyro/profil/spieler/67431
85;Steczyk  D.;Piast Gliwice;https://www.transfermarkt.com/dominik-steczyk/profil/spieler/344415
86;Majecki R.;Legia Warszawa;https://www.transfermarkt.com/radoslaw-majecki/profil/spieler/346546
87;Karbownik M.;Legia Warszawa;https://www.transfermarkt.com/michal-karbownik/profil/spieler/401604
88;Jędrzejczyk A.;Legia Warszawa;https://www.transfermarkt.com/artur-jedrzejczyk/profil/spieler/42401
89;Wieteska M.;Legia Warszawa;https://www.transfermarkt.com/mateusz-wieteska/profil/spieler/208172
90;Lewczuk I.;Legia Warszawa;https://www.transfermarkt.com/igor-lewczuk/profil/spieler/63265
91;Luquinhas;Legia Warszawa;https://www.transfermarkt.com/luquinhas/profil/spieler/402825
92;Antolić D.;Legia Warszawa;https://www.transfermarkt.com/domagoj-antolic/profil/spieler/48810
93;Martins A.;Legia Warszawa;https://www.transfermarkt.com/andre-martins/profil/spieler/90367
94;Wszołek P.;Legia Warszawa;https://www.transfermarkt.com/pawel-wszolek/profil/spieler/164759
95;Novikovas A.;Legia Warszawa;https://www.transfermarkt.com/arvydas-novikovas/profil/spieler/87444
96;Kante J.;Legia Warszawa;https://www.transfermarkt.com/jose-kante/profil/spieler/247276
97;Praszelik M.;Legia Warszawa;https://www.transfermarkt.com/mateusz-praszelik/profil/spieler/374418
98;Gwilia W.;Legia Warszawa;https://www.transfermarkt.com/valeriane-gvilia/profil/spieler/335191
99;Niezgoda J.;Legia Warszawa;https://www.transfermarkt.com/jaroslaw-niezgoda/profil/spieler/269446
100;Buchalik M.;Wisła Kraków;https://www.transfermarkt.com/michal-buchalik/profil/spieler/77002
101;Burliga Ł.;Wisła Kraków;https://www.transfermarkt.com/lukasz-burliga/profil/spieler/92590
102;Wasilewski M.;Wisła Kraków;https://www.transfermarkt.com/marcin-wasilewski/profil/spieler/16947
103;Savicević V.;Wisła Kraków;https://www.transfermarkt.com/vukan-savicevic/profil/spieler/197521
104;Wojtkowski K.;Wisła Kraków;https://www.transfermarkt.com/kamil-wojtkowski/profil/spieler/293063
105;Mak M.;Wisła Kraków;https://www.transfermarkt.com/michal-mak/profil/spieler/143976
106;Brożek P.;Wisła Kraków;https://www.transfermarkt.com/pawel-brozek/profil/spieler/14909
107;Zdybowicz P.;Wisła Kraków;https://www.transfermarkt.com/przemyslaw-zdybowicz/profil/spieler/458539
108;Silva J.;Wisła Kraków;https://www.transfermarkt.com/jean-carlos-silva/profil/spieler/282434
109;Miśkiewicz M.;Korona Kielce;https://www.transfermarkt.com/michal-miskiewicz/profil/spieler/52337
110;Bjelica A.;Korona Kielce;https://www.transfermarkt.com/aleksandar-bjelica/profil/spieler/273004
